datetime,instrument,open,high,low,close,volume,vwap,factor
2020-01-01,SH600000,20.2098,20.3103,20.1769,20.1845,555207.0,20.2204,1.0
2020-01-01,SH600016,39.3229,39.4705,39.221,39.2505,380395.0,39.3162,1.0
2020-01-01,SH600519,61.1088,61.8059,60.284,60.9322,738904.0,61.0327,1.0
2020-01-01,SZ000001,79.5201,80.5676,79.3356,79.8082,683867.0,79.8079,1.0
2020-01-01,SZ000858,96.705,96.9014,96.0236,96.2996,768979.0,96.4824,1.0
2020-01-02,SH600000,20.1485,20.2163,19.9984,20.1137,335491.0,20.1192,1.0
2020-01-02,SH600016,38.1114,38.2771,38.0132,38.1865,314710.0,38.147,1.0
2020-01-02,SH600519,60.3533,60.3753,59.7989,60.2552,503523.0,60.1957,1.0
2020-01-02,SZ000001,82.3421,83.2709,81.7308,82.2694,1035091.0,82.4033,1.0
2020-01-02,SZ000858,94.5245,95.2322,93.8126,94.6993,793546.0,94.5671,1.0
2020-01-03,SH600000,20.2914,20.452,20.1714,20.3607,574285.0,20.3189,1.0
2020-01-03,SH600016,37.4369,37.5479,37.4041,37.4315,635673.0,37.4551,1.0
2020-01-03,SH600519,59.3259,59.578,58.9462,59.2683,508439.0,59.2796,1.0
2020-01-03,SZ000001,79.7094,80.8252,78.7471,79.9279,578701.0,79.8024,1.0
2020-01-03,SZ000858,92.5957,94.0835,92.5248,93.9614,1821086.0,93.2914,1.0
2020-01-06,SH600000,20.999,21.0759,20.9112,20.9747,664434.0,20.9902,1.0
2020-01-06,SH600016,38.4558,38.5159,38.0869,38.2115,678572.0,38.3175,1.0
2020-01-06,SH600519,59.1507,59.7936,58.9187,59.2554,925075.0,59.2796,1.0
2020-01-06,SZ000001,79.812,80.1074,79.3218,79.9206,861269.0,79.7905,1.0
2020-01-06,SZ000858,97.4376,98.2214,97.1098,97.6205,984811.0,97.5973,1.0
2020-01-07,SH600000,20.8916,20.8942,20.7947,20.861,500834.0,20.8604,1.0
2020-01-07,SH600016,37.5117,37.6356,37.4649,37.4759,454543.0,37.522,1.0
2020-01-07,SH600519,59.1451,59.785,58.8342,59.0452,461934.0,59.2024,1.0
2020-01-07,SZ000001,78.6076,79.0171,77.8387,77.9553,1161692.0,78.3547,1.0
2020-01-07,SZ000858,98.2448,99.41,96.518,98.7577,1244991.0,98.2326,1.0
2020-01-08,SH600000,20.6739,20.7626,20.5755,20.748,776878.0,20.69,1.0
2020-01-08,SH600016,39.4932,39.6523,39.4744,39.484,248373.0,39.526,1.0
2020-01-08,SH600519,58.4172,59.0597,57.9354,58.5036,1080357.0,58.479,1.0
2020-01-08,SZ000001,79.0625,79.3161,78.0436,78.5361,691101.0,78.7396,1.0
2020-01-08,SZ000858,95.4135,96.8107,94.2382,96.1981,776638.0,95.6651,1.0
2020-01-09,SH600000,21.5973,21.7629,21.384,21.3977,350762.0,21.5355,1.0
2020-01-09,SH600016,39.5866,39.8637,39.4198,39.8576,458689.0,39.6819,1.0
